ProductId,UTCstart,UTCend,CenterLat,CenterLon,MinLat,MaxLat,WestLon,EastLon,ExtURL,ProdURL,FilesURL,LabelURL
nac.m1375914084re,2021-05-17T18:06:57.31400,2021-05-17T18:07:50.38800,-1.0,157.8003,-84.9607,-84.18,144.07,172.99,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375914084RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375914084re&product_idGeo=29319368,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375914084re&product_idGeo=29319368,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375914084RE.xml
nac.m1375935206le,2021-05-17T23:58:59.31900,2021-05-17T23:59:52.39300,-1.0,165.755,-84.8363,-84.45,150.99,180.81,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375935206LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375935206le&product_idGeo=29320093,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375935206le&product_idGeo=29320093,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375935206LE.xml
nac.m1375935206re,2021-05-17T23:58:59.31900,2021-05-17T23:59:52.39300,-1.0,165.7132,-84.9608,-84.57,150.61,181.16,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375935206RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375935206re&product_idGeo=29320095,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375935206re&product_idGeo=29320095,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021137/NAC/M1375935206RE.xml
nac.m1380775338le,2021-07-13T00:27:51.62000,2021-07-13T00:28:44.69500,-1.0,158.7619,-84.9875,-84.29,143.51,172.78,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380775338LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380775338le&product_idGeo=29320493,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380775338le&product_idGeo=29320493,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021194/NAC/M1380775338LE.xml
nac.m1380775338re,2021-07-13T00:27:51.62000,2021-07-13T00:28:44.69500,-1.0,159.1489,-85.1282,-84.41,143.47,173.49,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1380775338RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1380775338re&product_idGeo=29320495,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1380775338re&product_idGeo=29320495,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0048A/DATA/ESM4/2021194/NAC/M1380775338RE.xml
nac.m1375949258le,2021-05-18T03:53:11.40900,2021-05-18T03:54:04.48300,-1.0,154.5756,-84.8571,-84.17,140.75,169.6,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375949258LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375949258le&product_idGeo=29320938,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375949258le&product_idGeo=29320938,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375949258LE.xml
nac.m1375949258re,2021-05-18T03:53:11.40900,2021-05-18T03:54:04.48300,-1.0,154.3128,-84.9876,-84.29,140.21,169.72,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375949258RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375949258re&product_idGeo=29320939,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375949258re&product_idGeo=29320939,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375949258RE.xml
nac.m1375956277le,2021-05-18T05:50:10.79100,2021-05-18T05:51:03.86500,-1.0,145.7527,-84.85,-83.82,133.16,160.25,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375956277LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375956277le&product_idGeo=29321114,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375956277le&product_idGeo=29321114,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375956277LE.xml
nac.m1375956277re,2021-05-18T05:50:10.79100,2021-05-18T05:51:03.86500,-1.0,145.3464,-84.98,-83.94,132.53,160.16,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375956277RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375956277re&product_idGeo=29321117,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375956277re&product_idGeo=29321117,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375956277RE.xml
nac.m1375963356le,2021-05-18T07:48:09.95800,2021-05-18T07:49:03.03300,-1.0,169.8927,-84.884,-84.43,154.62,184.55,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375963356LE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375963356le&product_idGeo=29321295,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375963356le&product_idGeo=29321295,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375963356LE.xml
nac.m1375963356re,2021-05-18T07:48:09.95800,2021-05-18T07:49:03.03300,-1.0,170.0766,-85.0147,-84.55,154.41,185.07,https://data.lroc.im-ldi.com/lroc/view_lroc/LRO-L-LROC-2-EDR-V1.0/M1375963356RE,https://ode.rsl.wustl.edu/moon/indexproductpage.aspx?product_id=nac.m1375963356re&product_idGeo=29321298,https://ode.rsl.wustl.edu/moon/productfiles.aspx?product_id=nac.m1375963356re&product_idGeo=29321298,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0047C/DATA/ESM4/2021138/NAC/M1375963356RE.xml
